"Étude Salaire 2020 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","","","","","","","","","","Avez-vous d'autres activités rémunérées ?","","","","","","","","","","","","","","","","","Quel revenus souhaitez-vous indiquer ?","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","De quelle école êtes-vous diplômé(e) ?","Autre diplôme","En quelle année avez-vous été diplômé(e) ?","Combien d'années d'expérience avez-vous ?","Quelle est votre région actuelle ?","Autre localisation","Quel est votre sexe ?","Combien d'enfants à charge avez-vous ?","Dans quel type de structure êtes-vous ?","Précision concernant le type de structure","Quelle est la taille de cette structure ?","De quelle convention collective dépend cette structure ?","activités d’enseignement","activités associatives","activités de paysagiste conseils de l’état","responsabilités universitaire","activité non salariée, en tant que micro-entrepreneurs","activité non salariée, en tant qu’entrepreneurs individuels classiques","activité non salariée, en tant gérants majoritaires de sociétés","activité non déclarée","Quel est votre statut ?","Quel est votre temps de travail hebdomadaire effectif annualisé ?","Etes-vous satisfait(e) de votre charge horaire ?","Etes-vous favorable au télétravail ?","Quel type de poste occupez-vous ?","Autre type de poste","Années d'ancienneté","Etes-vous satisfait(e) de votre emploi ?","Quel est votre revenu ANNUEL NET imposable en 2020 ?","Revenu salarial annuel net imposable : somme de tous les salaires perçus par un individu au cours d'une année donnée, nets de toutes cotisations sociales, y compris contribution sociale généralisée (CSG) et contribution au remboursement de la dette sociale (CRDS).","Revenu d’activité annuel : rémunération issue de l’activité non salariée, déduction faite des cotisations sociales payées dans l’année mais pas des contributions sociales (CSG non déductible, CRDS). Il est calculé à partir du revenu professionnel imposable auquel sont réintégrés certains allègements fiscaux et cotisations sociales facultatives : chiffre d’affaires des micro-entrepreneurs après abattement pour frais professionnels, bénéfice net des entrepreneurs individuels classiques, rémunération des gérants majoritaires (incluant une partie des dividendes).","Quel est votre salaire ANNUEL NET imposable en 2020 ?","Quel est votre revenu d’activité ANNUEL en 2020 ? ","Quels sont vos avantages ?","Etes-vous satisfait(e) de votre rémunération ?"
"234","9298222","04/08/2021 - 19:03","04/08/2021 - 19:03","04/08/2021 - 19:03","0","0.0.0.0","0","Anonymous","ENSAPBX","","2019","2","Autre","Allemagne - Constance","Femme","0","Agence de paysage","","11-25","Je ne sais pas","","","","","","","","","C.D.I","40","5 - Très satisfait","Oui, si flexbile","Assistant(e) de projet","","1","1","25110","X","","25110","","","4"
"235","9320962","13/08/2021 - 11:11","13/08/2021 - 11:11","13/08/2021 - 11:11","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","3","Normandie","","Femme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","35","4","Oui, si flexbile","Chef(fe) de projet débutant","","3","4","","X","","22000","","","3"
"236","9321042","13/08/2021 - 11:32","13/08/2021 - 11:32","13/08/2021 - 11:32","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","7","Île-de-France","","Femme","01","Bureau d'études","","6-10","Convention collective nationale des entreprises du paysage","","","","","","","","","C.D.I","39","1","Oui, si flexbile","Chargé(e) d'étude","","2","3","24000","X","","","","Tickets.restaurants","1"
"237","9321164","13/08/2021 - 12:05","13/08/2021 - 12:05","13/08/2021 - 12:05","0","0.0.0.0","0","Anonymous","ENSAPL","","2017","4","Pays de la Loire","","Femme","0","Fonction publique","Métropole","501-1000","Fonction publique","","","","","","","","","Contractuel dans la fonction publique","39","2","Oui, si flexbile","Autre","","3","2","22492","X","","22492","","RTT, tickets restaurants, CE, participation santé (mutuelle)","1"
"238","9321185","13/08/2021 - 12:11","13/08/2021 - 12:11","13/08/2021 - 12:11","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","2","Occitanie","","Femme","0","Fonction publique","EPCI","6-10","Je ne sais pas","","X","","","","","","","C.D.D","35","5 - Très satisfait","Oui, si flexbile","Chef(fe) de projet","","1","5 - Très satisfait","23200","X","","23200","","","4"
"239","9321377","13/08/2021 - 13:11","13/08/2021 - 13:11","13/08/2021 - 13:11","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2020","1","Nouvelle-Aquitaine","","Homme","0","Fonction publique","CTM","26-50","Je ne sais pas","","","","","","","","","Contractuel dans la fonction publique","36.25","5 - Très satisfait","Oui, si flexbile","Responsable d'agence / bureaux","","0","3","22200","X","","22200","","","3"
"240","9321700","13/08/2021 - 14:58","13/08/2021 - 14:58","13/08/2021 - 14:58","0","0.0.0.0","0","Anonymous","ENSAPBX","","1998","24","Auvergne-Rhône-Alpes","","Femme","2","Agence de paysage","Concepteurs paysagistes & urbanistes, maîtrise d'oeuvre, études, faisa... espaces publics, territoires & infrastructures","11-25","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Responsable d'agence / bureaux","","19","5 - Très satisfait","42784","X","","42784","","voiture, téléphone","3"
"241","9321828","13/08/2021 - 15:36","13/08/2021 - 15:36","13/08/2021 - 15:36","0","0.0.0.0","0","Anonymous","Gembloux","","2015","4","Grand Est","","Femme","0","Fonction publique","Syndicat mixte","6-10","Fonction publique territoriale","","","","","X","","","","Contractuel dans la fonction publique","39","2","Oui, si flexbile","Autre","Animateur","1","0 - Pas du tout satisfait","21072","X","","21607","","","0 - Pas du tout satisfait"
"242","9322094","13/08/2021 - 17:07","13/08/2021 - 17:07","13/08/2021 - 17:07","0","0.0.0.0","0","Anonymous","Gembloux","","2016","4","Autre","Genève","Homme","0","Agence de paysage","","11-25","Je ne sais pas","","","","","","","","","C.D.I","42.2","3","Oui, si flexbile","Responsable d'équipe","","4","4","","X","","48000","","","4"
"243","9323333","14/08/2021 - 10:14","14/08/2021 - 10:14","14/08/2021 - 10:14","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2019","0","Hauts-de-France","","Femme","0","Agence de paysage","","6-10","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","40","3","Non, pas du tout","Chef(fe) de projet débutant","","0","5 - Très satisfait","18000","X","","18000","","Repas fournis le midi","1"
"244","9323702","14/08/2021 - 13:32","14/08/2021 - 13:32","14/08/2021 - 13:32","0","0.0.0.0","0","Anonymous","Gembloux","","1996","24","Hauts-de-France","","Homme","2","Agence de paysage","","2-5","Convention collective nationale des cabinets ou entreprises de géomètres-experts, géomètres-topographes, photogrammètres et experts fonciers","","","","","","","X","","Dirigeant de SARL","60","4","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","24","4","","","X","","95000","","4"
"245","9324200","14/08/2021 - 19:32","14/08/2021 - 19:32","14/08/2021 - 19:32","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2015","5","Auvergne-Rhône-Alpes","","Homme","1","Agence d'architecture","","2-5","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","37","4","Oui, si flexbile","Chef(fe) de projet","","2","4","26678","X","","26678","","0","3"
"246","9324999","15/08/2021 - 13:09","15/08/2021 - 13:09","15/08/2021 - 13:09","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","4","Autre","Pays Bas","Homme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","40","5 - Très satisfait","Oui, y compris à temps complet","Chargé(e) d'étude","","4","5 - Très satisfait","34000","X","","24600","","Bonus vacances 5% salaire annuel","3"
"247","9325000","15/08/2021 - 13:09","15/08/2021 - 13:09","15/08/2021 - 13:09","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","4","Autre","Pays Bas","Homme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","40","5 - Très satisfait","Oui, y compris à temps complet","Chargé(e) d'étude","","4","5 - Très satisfait","34000","X","","24600","","Bonus vacances 5% salaire annuel","3"
"248","9330161","17/08/2021 - 06:43","17/08/2021 - 06:43","17/08/2021 - 06:43","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","11","La Réunion","","Femme","2","Freelance / Indépendant","","1","Je ne sais pas","","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","3","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","2","4","22000","","X","","12000","","3"
"249","9334880","18/08/2021 - 11:44","18/08/2021 - 11:44","18/08/2021 - 11:44","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","3","Provence-Alpes-Côte d'Azur","","Homme","0","Agence de paysage","Land'act","26-50","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","43","3","Oui, si flexbile","Assistant(e) de projet","","3","3","19670","X","","19670","","ticket restaurant ","0 - Pas du tout satisfait"
"250","9340019","19/08/2021 - 20:32","19/08/2021 - 20:32","19/08/2021 - 20:32","0","0.0.0.0","0","Anonymous","ENSAPL","","2015","5","Nouvelle-Aquitaine","","Femme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chargé(e) d'étude","","0","5 - Très satisfait","22840","X","","22840","","tickets restaurants + heures supp récupérées + indemnités kilométriques vélo","3"
"251","9340325","19/08/2021 - 23:26","19/08/2021 - 23:26","19/08/2021 - 23:26","0","0.0.0.0","0","Anonymous","ENSAPBX","","2018","3","Bretagne","","Femme","0","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","28","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'étude débutant","","1","5 - Très satisfait","29000","X","","29000","","Chèques vacances","4"
"252","9340335","19/08/2021 - 23:33","19/08/2021 - 23:33","19/08/2021 - 23:33","0","0.0.0.0","0","Anonymous","ENSAPBX","","2018","3","Bretagne","","Femme","0","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","28","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'étude débutant","","1","5 - Très satisfait","19000","X","","19000","","Chèques vacances","4"
"253","9344557","21/08/2021 - 16:50","21/08/2021 - 16:50","21/08/2021 - 16:50","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2020","1","Normandie","","Femme","0","Bureau d'études","BE aménagement vrd paysage","51-200","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","37","5 - Très satisfait","Non, exceptionnellement pour les deux confinements","Chargé(e) d'étude","","1","4","24000","X","","","","","5 - Très satisfait"
"254","9348484","23/08/2021 - 11:25","23/08/2021 - 11:25","23/08/2021 - 11:25","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2016","2","Occitanie","","Homme","0","Agence d'architecture","Urbanisme principalement","6-10","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","32","3","Non, uniquement pour le premier confinement","Autre","non précisé, polyvalent","0","2","17000","X","","17000","","heures supplémentaires non payées, non récupérables","1"
"255","9352481","24/08/2021 - 07:14","24/08/2021 - 07:14","24/08/2021 - 07:14","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","3","Paris","","Homme","0","Agence de paysage","","11-25","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","39","3","Oui, si flexbile","Assistant(e) de projet","","3","3","","X","","25200","","Tickets restaurants","3"
"256","9365310","26/08/2021 - 10:35","26/08/2021 - 10:35","26/08/2021 - 10:35","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2012","9","Pays de la Loire","","Femme","2","Entreprise de réalisation","","1001-...","Convention collective nationale des entreprises du paysage","","","","","","","","","C.D.I","0","5 - Très satisfait","Oui, si flexbile","Autre","Fonction support ","3","5 - Très satisfait","42200","X","","","","CSE (le CE n’existe plus), prise en charge transports, frais kilométriques, etc.","4"
"257","9373844","27/08/2021 - 16:47","27/08/2021 - 16:47","27/08/2021 - 16:47","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","4","Bretagne","","Femme","0","Agence de paysage","Agence de paysage (maitrise d'oeuvre) et urbanisme ","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","35","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'étude","","1","3","19290","X","","19290","","","2"
"258","9400537","01/09/2021 - 09:33","01/09/2021 - 09:33","01/09/2021 - 09:33","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","3","Pays de la Loire","","Homme","0","Agence de paysage","","2-5","Code du travail (Sans convention)","","","","","","","","","C.D.I","39","5 - Très satisfait","Non, uniquement pour le premier confinement","Chef(fe) de projet","","3","4","20086","X","","19926","","","3"
"259","9416033","02/09/2021 - 16:10","02/09/2021 - 16:10","02/09/2021 - 16:10","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2001","20","Auvergne-Rhône-Alpes","","Femme","2","Agence de paysage","","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","35","5 - Très satisfait","Oui, y compris à temps complet","Chef(fe) de projet","","1","5 - Très satisfait","31900","X","","","","tickets restaurants","3"
"260","9416213","02/09/2021 - 16:19","02/09/2021 - 16:19","02/09/2021 - 16:19","0","0.0.0.0","0","Anonymous","Autre","","2000","3","Auvergne-Rhône-Alpes","","Femme","3","Agence de paysage","","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","37","3","Oui, si flexbile","Autre","responsble administrative","3","4","26500","X","","26500","","tickets restaurant","2"
"261","9569782","17/09/2021 - 15:59","17/09/2021 - 15:59","17/09/2021 - 15:59","0","0.0.0.0","0","Anonymous","Lullier","","2008","13","Auvergne-Rhône-Alpes","","Homme","1","Agence de paysage","SAS ","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chef(fe) de projet confirmé","","9","4","30700","X","","","","Heures supplémentaires récupérées / Tickets restaurants / ","3"
